C + 5         6         6       3952061.5(1S)
    1 1S1               (2)0(  .5)             .0     {1}1.000
    2 2S1               (2)0(  .5)      2963904.2     {1}1.000
    3 2P1               (2)1( 2.5)      2964194.7     {1}1.000
    4 3S1               (2)0(  .5)      3512929.5     {1}1.000
    5 3P1               (2)1( 2.5)      3513015.3     {1}1.000
    6 3D1               (2)2( 4.5)      3513090.2     {1}1.000
    7 4P1               (2)1( 2.5)      3705107.2     {1}1.000
    8 4F1               (2)3( 6.5)      3705152.2     {1}1.000
    9 4S1               (2)0(  .5)      3705070.8     {1}1.000
   10 4D1               (2)2( 4.5)      3705138.6     {1}1.000
   11 5P1               (2)1( 2.5)      3794015.7     {1}1.000
   12 5S1               (2)0(  .5)      3793997.2     {1}1.000
   13 5G1               (2)4( 8.5)      3794042.7     {1}1.000
   14 5D1               (2)2( 4.5)      3794031.9     {1}1.000
   15 5F1               (2)3( 6.5)      3794038.9     {1}1.000
   -1      36.02    9.01    9.00    4.00    4.00    4.00    2.25    2.25    2.25    2.25    1.44    1.44    1.44    1.44    1.44
  14  10 1.24+04 1.89+01 1.89+01 1.89+01 1.90+01 1.91+01 1.93+01 1.95+01 1.96+01 1.98+01 2.00+01 2.03+01 2.04+01 2.05+01 2.06+01
  13  10 4.66+04 2.31+01 2.31+01 2.31+01 2.37+01 2.48+01 2.67+01 2.82+01 2.93+01 3.10+01 3.32+01 3.60+01 3.74+01 3.83+01 4.04+01
   5   3 1.12+06 1.10+00 1.10+00 1.10+00 1.10+00 1.10+00 1.08+00 1.05+00 9.50-01 8.90-01 8.70-01 8.60-01 8.70-01 8.80-01 9.20-01
   7   3 4.81+05 2.18-01 2.18-01 2.18-01 2.16-01 2.12-01 2.07-01 2.03-01 2.00-01 1.96-01 1.92-01 1.89-01 1.88-01 1.88-01 1.89-01
   8   3 1.93+06 1.40-01 1.40-01 1.40-01 1.39-01 1.37-01 1.36-01 1.37-01 1.39-01 1.43-01 1.54-01 1.75-01 1.90-01 2.01-01 2.34-01
  11   3 2.46+05 8.99-02 8.99-02 8.99-02 8.89-02 8.71-02 8.39-02 8.17-02 8.01-02 7.79-02 7.56-02 7.34-02 7.26-02 7.23-02 7.22-02
  15   3 1.28+06 7.70-02 7.70-02 7.70-02 7.59-02 7.43-02 7.23-02 7.17-02 7.20-02 7.34-02 7.73-02 8.62-02 9.28-02 9.77-02 1.13-01
   7   5 1.19+05 3.90+00 3.90+00 3.90+00 3.93+00 3.97+00 4.05+00 4.11+00 4.15+00 4.22+00 4.30+00 4.41+00 4.46+00 4.49+00 4.58+00
   8   5 1.80+05 5.28+00 5.28+00 5.28+00 5.37+00 5.54+00 5.89+00 6.16+00 6.39+00 6.75+00 7.26+00 7.96+00 8.36+00 8.62+00 9.30+00
  11   5 6.66+04 7.74-01 7.74-01 7.74-01 7.75-01 7.79-01 7.86-01 7.92-01 7.97-01 8.05-01 8.16-01 8.32-01 8.40-01 8.46-01 8.60-01
  15   5 1.02+04 6.39-01 6.39-01 6.39-01 6.32-01 6.23-01 6.16-01 6.16-01 6.19-01 6.27-01 6.41-01 6.65-01 6.80-01 6.89-01 7.16-01
   8   7 1.17-68 1.95+00 2.65+00 3.40+00 3.85+00 4.43+00 5.22+00 5.69+00 6.02+00 6.48+00 7.07+00 7.87+00 8.34+00 8.68+00 9.74+00
  11   7 2.12+04 1.14+01 1.14+01 1.14+01 1.16+01 1.17+01 1.21+01 1.23+01 1.24+01 1.26+01 1.28+01 1.31+01 1.32+01 1.33+01 1.34+01
  15   7 4.37+04 1.12+01 1.12+01 1.12+01 1.16+01 1.22+01 1.34+01 1.43+01 1.50+01 1.61+01 1.75+01 1.93+01 2.03+01 2.09+01 2.24+01
  11   8 2.20+03 7.21-01 7.21-01 7.21-01 6.93-01 6.56-01 6.15-01 6.00-01 5.94-01 5.93-01 6.00-01 6.21-01 6.35-01 6.45-01 6.74-01
  15   8 7.14+03 2.24+01 2.24+01 2.24+01 2.23+01 2.22+01 2.20+01 2.20+01 2.20+01 2.20+01 2.20+01 2.20+01 2.21+01 2.21+01 2.22+01
   3   1 8.12+11 6.86-02 6.87-02 6.89-02 6.91-02 6.95-02 7.05-02 7.15-02 7.46-02 7.99-02 8.73-02 1.03-01 1.20-01 1.35-01 1.93-01
   5   1 2.17+11 1.73-02 1.74-02 1.74-02 1.74-02 1.75-02 1.76-02 1.78-02 1.59-02 1.94-02 2.06-02 2.29-02 2.49-02 2.69-02 3.53-02
   7   1 8.84+10 6.67-03 6.67-03 6.69-03 6.69-03 6.70-03 6.73-03 6.77-03 6.81-03 6.93-03 7.20-03 7.96-03 8.70-03 9.40-03 1.26-02
  11   1 4.45+10 3.27-03 3.27-03 3.28-03 3.28-03 3.28-03 3.29-03 3.31-03 3.33-03 3.37-03 3.49-03 3.84-03 4.18-03 4.50-03 5.99-03
   3   2 1.37+01 1.10+01 1.26+01 1.42+01 1.51+01 1.63+01 1.79+01 1.89+01 1.95+01 2.05+01 2.17+01 2.33+01 2.42+01 2.49+01 2.70+01
   5   2 2.91+10 3.05-01 3.07-01 3.10-01 3.15-01 3.24-01 3.47-01 3.67-01 2.97-01 5.21-01 6.76-01 9.13-01 1.08+00 1.24+00 1.78+00
   7   2 1.25+10 5.83-02 5.86-02 5.92-02 6.06-02 6.33-02 6.99-02 7.60-02 8.18-02 9.27-02 1.12-01 1.49-01 1.77-01 1.99-01 2.84-01
  11   2 6.41+09 2.40-02 2.41-02 2.43-02 2.48-02 2.57-02 2.79-02 3.01-02 3.21-02 3.59-02 4.27-02 5.61-02 6.62-02 7.44-02 1.05-01
   4   3 8.18+09 1.74-01 1.78-01 1.86-01 1.89-01 1.94-01 2.08-01 2.16-01 1.87-01 9.15-02 6.76-02 8.54-02 9.93-02 1.11-01 1.59-01
   5   4 3.04+00 8.13+01 9.04+01 9.96+01 1.05+02 1.12+02 1.21+02 1.26+02 1.30+02 1.35+02 1.42+02 1.51+02 1.57+02 1.61+02 1.73+02
   7   4 3.97+09 6.10-01 6.24-01 6.52-01 7.07-01 8.12-01 1.05+00 1.27+00 1.47+00 1.81+00 2.36+00 3.31+00 3.96+00 4.46+00 6.19+00
  11   4 2.12+09 1.31-01 1.34-01 1.39-01 1.48-01 1.65-01 2.05-01 2.41-01 2.73-01 3.31-01 4.24-01 5.87-01 7.00-01 7.87-01 1.09+00
   6   3 8.38+10 2.38+00 2.42+00 2.48+00 2.52+00 2.59+00 2.77+00 2.94+00 2.84+00 3.10+00 3.70+00 4.76+00 5.64+00 6.43+00 9.07+00
